"id_curso","titulo","duracion_horas","id_instructor"
1,"Introducción a Programación Web","40","1"
2,"Fundamentos de Bases de Datos","35","2"
3,"Seguridad Informática Básica","30","3"
4,"Machine Learning Inicial","50","4"
5,"Desarrollo de Apps Móviles","45","5"
6,"Diseño UX para Principiantes","25","6"
7,"Redes y Comunicaciones","40","7"
8,"Python desde Cero","38","8"
9,"Programación en Java","42","9"
10,"Marketing Digital Estratégico","30","10"
11,"Machine Learning Avanzado","55","11"
12,"Análisis de Datos con Python","40","12"
13,"Introducción a Cloud Computing","36","13"
14,"HTML y CSS Completo","28","14"
15,"JavaScript Moderno","45","15"
16,"Big Data Fundamentos","48","16"
17,"DevOps Práctico","35","17"
18,"Consultas SQL Avanzadas","30","18"
19,"Programación en C#","44","19"
20,"React desde Cero","40","20"
21,"Angular Profesional","42","21"
22,"Backend con Node.js","38","22"
23,"Desarrollo con Flutter","36","23"
24,"Apps Android con Kotlin","40","24"
25,"Desarrollo iOS con Swift","45","25"
26,"Power BI Profesional","30","26"
27,"Excel para Negocios","32","27"
28,"Metodología Scrum","20","28"
29,"Gestión de Proyectos TI","35","29"
30,"Blockchain Básico","30","30"
31,"Programación en C++","50","31"
32,"Diseño en Photoshop","28","32"
33,"Illustrator Profesional","30","33"
34,"After Effects Básico","32","34"
35,"Administración Linux","45","35"
36,"Windows Server Completo","48","36"
37,"Oracle Database","50","37"
38,"PostgreSQL Práctico","35","38"
39,"MongoDB desde Cero","30","39"
40,"Firebase para Apps","28","40"
41,"Arduino para Principiantes","30","41"
42,"Internet de las Cosas","40","42"
43,"Robótica Educativa","45","43"
44,"Data Science Aplicado","50","44"
45,"Estadística con R","35","45"
46,"Visualización con Tableau","30","46"
47,"AWS Cloud Practitioner","36","47"
48,"Microsoft Azure Básico","34","48"
49,"Google Cloud Inicial","32","49"
50,"SAP Empresarial","45","50"
51,"Ethical Hacking Básico","40","51"
52,"Pentesting Profesional","45","52"
53,"SEO para Empresas","25","53"
54,"Creación de Sitios WordPress","30","54"
55,"Tiendas Online con Shopify","28","55"
56,"Desarrollo de Videojuegos Unity","50","56"
57,"Unreal Engine desde Cero","48","57"
58,"Diseño de Videojuegos","35","58"
59,"AutoCAD Profesional","42","59"
60,"SolidWorks Completo","45","60"
61,"Matemáticas Aplicadas","40","61"
62,"Física para Ingeniería","45","62"
63,"Estadística Avanzada","50","63"
64,"Economía Digital","35","64"
65,"Finanzas Corporativas","42","65"
66,"Contabilidad Básica","30","66"
67,"Administración de Empresas","40","67"
68,"Recursos Humanos Modernos","32","68"
69,"Logística Empresarial","38","69"
70,"Técnicas de Ventas","25","70"
71,"Marketing Estratégico","40","71"
72,"Publicidad Digital","30","72"
73,"E-commerce Profesional","35","73"
74,"Branding Empresarial","28","74"
75,"Comunicación Organizacional","32","75"
76,"Producción Audiovisual","45","76"
77,"Edición de Video Profesional","40","77"
78,"Fotografía Digital","35","78"
79,"Animación 3D Básica","48","79"
80,"Diseño Gráfico Profesional","50","80"
81,"Programación para Principiantes","30","81"
82,"Algoritmos y Lógica","35","82"
83,"Estructuras de Datos","40","83"
84,"Testing de Software","30","84"
85,"Control de Calidad (QA)","32","85"
86,"Arquitectura de Microservicios","45","86"
87,"Desarrollo de APIs REST","38","87"
88,"Contenedores con Docker","30","88"
89,"Orquestación con Kubernetes","42","89"
90,"Transformación Digital Empresarial","40","90"
91,"Curso Especial 91","20","91"
92,"Curso Especial 92","22","92"
93,"Curso Especial 93","24","93"
94,"Curso Especial 94","26","94"
95,"Curso Especial 95","28","95"
96,"Curso Especial 96","30","96"
97,"Curso Especial 97","32","97"
98,"Curso Especial 98","34","98"
99,"Curso Especial 99","36","99"
100,"Curso Especial 100","38","100"
